date,price_eur,wind_mwh,consumption
2021-01-30,48.670000083333335,14940.039307999998,61784.33674199999
2021-01-31,48.23416654166667,19636.377640000002,59110.457304
2021-02-01,57.511667,9253.030947,69795.959345
2021-02-02,54.633333125,7587.056231999997,72440.99520800001
2021-02-03,44.526250166666664,72392.817578,74628.93301299999
2021-02-04,52.041249875,54536.462436999995,74919.877465
2021-02-05,51.38666679166667,61690.74527699999,75197.96167500001
2021-02-06,36.38166708333333,67562.81858199999,74955.622252
2021-02-07,19.70999966666667,66723.449075,75772.34153599999
2021-02-08,43.09125025,66737.68229299999,86893.589849
2021-02-09,63.924167,69303.189785,80841.010198
2021-02-10,72.153333625,42010.19648599999,75759.09856299999
2021-02-11,79.29708325,33854.570767,76337.35302799998
2021-02-12,62.465833333333336,10344.805638,75248.10790300003
2021-02-13,53.216249875,1423.6922699999998,67231.34009499999
2021-02-14,45.88916666666667,28683.556253,66951.19226299999
2021-02-15,50.400000166666665,54914.896424999984,77840.66243899998
2021-02-16,52.28166645833333,28608.790759999996,75126.178872
2021-02-17,49.665416791666665,21037.695351000002,72570.25615700001
2021-02-18,45.399583,56406.44497899999,75502.576817
2021-02-19,47.70041654166667,45057.855849,70422.780588
2021-02-20,34.047083375,62958.11290000001,60303.78337199998
2021-02-21,32.92250020833333,37226.483817,57360.919105
2021-02-22,49.483750416666666,32549.335742999996,69287.344812
2021-02-23,44.46208370833333,34581.091512,68843.08712699999
2021-02-24,31.353750166666668,78839.187904,72081.78446899999
2021-02-25,33.15708333333333,68515.692616,69767.97943300001
2021-02-26,30.266249916666666,74187.062487,65801.955657
2021-02-27,44.93541675,30794.675156,58088.86967299999
2021-02-28,41.01916708333333,33282.841678000004,55405.10287699999
2021-03-01,49.17708270833333,29506.627288,65720.878447
2021-03-02,53.499166833333334,9501.575659,66583.302102
2021-03-03,51.61125058333334,11790.077205999998,67855.334717
2021-03-04,53.43999970833333,35474.34706000001,68357.69099
2021-03-05,53.60333358333333,8523.048713,65242.565312000006
2021-03-06,34.80208329166667,79640.23692500002,61422.73662799999
2021-03-07,39.77000025,47400.793401999996,63015.95564
2021-03-08,61.60666675,4427.266483999999,66663.10416599999
2021-03-09,60.915833750000004,4178.2377209999995,67086.607447
2021-03-10,47.342500541666666,59233.589807,75190.08303600001
2021-03-11,24.981666416666666,82607.25593999999,80115.02265299999
2021-03-12,22.286250375,69283.67410100001,72069.063398
2021-03-13,16.010416833333334,32041.866955,63229.76269899999
2021-03-14,19.416249791666665,53601.65517399999,62265.62512600001
2021-03-15,48.158750041666664,51096.733742,73782.01840399999
2021-03-16,55.91458325,21507.051645000003,69062.238078
2021-03-17,57.64499995833334,10620.337392999998,65773.18404000001
2021-03-18,64.795416625,8701.268115,65221.487368
2021-03-19,56.388333,19680.477355999996,64679.60864200001
2021-03-20,41.99416645833333,62816.79285399999,63332.791037999996
2021-03-21,31.884166458333336,46602.42276300001,63819.555544999996
2021-03-22,58.614166708333336,42398.74627799999,65976.37895400001
2021-03-23,59.821250125,28952.581931,66139.00308099999
2021-03-24,52.438750166666665,52301.646043999994,67609.92450199998
2021-03-25,56.730000125000004,34596.48642799999,65648.140104
2021-03-26,42.69791633333333,57335.657321,66029.70721600001
2021-03-27,24.370416583333334,35917.009958999995,59771.012152
2021-03-28,22.958260782608694,56372.536822,62065.778795000006
2021-03-29,30.614583,71888.335143,73052.287016
2021-03-30,45.271249875,52486.09686400001,63728.38912100001
2021-03-31,58.654167333333334,18970.364669,60196.660789999994
2021-04-01,46.662083333333335,32729.27053,57375.461784
2021-04-02,33.094166791666666,47468.407637,56111.139581999996
2021-04-03,39.309583375,14171.304189999999,53018.942321
2021-04-04,21.006250083333335,69156.628073,56993.183167999996
2021-04-05,-10.693749916666668,65190.654897,62543.11187100001
2021-04-06,29.267499625,77092.611529,72349.44507899998
2021-04-07,47.034166416666665,44832.416703999996,71807.06740399999
2021-04-08,44.658750291666664,60963.323115,73072.96469100002
2021-04-09,23.60125,78932.12960200002,70265.281089
2021-04-10,53.39749966666667,31124.416870999998,54801.008349
2021-04-11,47.975832958333335,30658.861776,62626.719056000016
2021-04-12,44.58,53240.14652700002,70237.593066
2021-04-13,49.20125004166667,43007.946526,71366.16703200003
2021-04-14,67.62333375,16180.667254,64290.496366999985
2021-04-15,64.45374991666667,14055.923609,63752.151983
2021-04-16,54.93499975,19866.323258,60968.16312299999
2021-04-17,58.851667125,33552.764961,52719.449406
2021-04-18,61.379166375,15617.680691999996,50041.78183899999
2021-04-19,70.95500058333333,8140.339162000001,58924.839658
2021-04-20,75.34291708333333,6805.814434,59923.36448899999
2021-04-21,48.19125020833333,64464.40255,66372.038819
2021-04-22,32.506250208333334,65505.121002,68546.993039
2021-04-23,47.756250375,45755.969395,62579.313089999996
2021-04-24,48.763750125,26738.304214,55282.049238
2021-04-25,37.47791633333333,19173.149986,53279.46541699999
2021-04-26,61.56333308333333,3877.2583290000002,62934.796889
2021-04-27,59.212500375,6470.001192999999,64682.193773000006
2021-04-28,59.722916749999996,8457.360184000001,62749.241566000004
2021-04-29,54.38166666666667,39480.588567000006,63196.618968
2021-04-30,66.8020835,10813.278145,53516.025107
2021-05-01,56.68500029166667,7123.302561999999,50701.613245
2021-05-02,46.935833,11286.219901,51913.500935
2021-05-03,62.425833,23759.590310000007,63525.551227
2021-05-04,30.259583041666666,48205.777281,70914.499085
2021-05-05,35.891666791666665,30170.250525000003,68263.55332600001
2021-05-06,64.96583358333334,29699.781629,68040.236006
2021-05-07,69.81166725,20437.002521999995,63330.491484
2021-05-08,50.76166645833333,31128.552477,55524.22904899999
2021-05-09,7.397916749999999,48464.76498600001,54811.64943299999
2021-05-10,55.98833366666667,41197.94597899999,61148.08514300001
2021-05-11,72.17166720833333,16365.277953000004,63144.675375000006
2021-05-12,68.74541683333334,12842.393365999998,61327.782834
2021-05-13,62.735416625,6479.1362039999985,52895.002497999994
2021-05-14,71.80166658333333,7271.633983999999,53589.11501300001
2021-05-15,60.201249875,21212.331002,51612.12916399999
2021-05-16,39.930000041666666,5106.981908,52383.179835
2021-05-17,73.70374954166667,4585.847840999999,59170.485653
2021-05-18,74.17874954166666,8860.586473,60111.388502999995
2021-05-19,77.71249966666666,20998.976399999996,60544.76485199999
2021-05-20,61.00333308333333,47337.20654,62269.544279999995
2021-05-21,33.309999958333336,39880.51381700001,63769.481304999994
2021-05-22,10.597500125000002,52906.01916100001,55649.927619
2021-05-23,21.145000083333333,62506.526728000004,54220.34621799999
2021-05-24,40.407500041666665,33047.112457,53747.78516300001
2021-05-25,59.634166916666665,11658.082665,61239.04843800001
2021-05-26,65.44541654166666,35516.91388300001,69745.943851
2021-05-27,71.76750016666666,31002.845444,65308.977257
2021-05-28,73.60208233333333,13063.638331000002,58875.413932999996
2021-05-29,56.48791625,7615.508953,49431.749247
2021-05-30,40.373333583333334,2646.5316890000004,48014.202873999995
2021-05-31,67.45708329166666,5477.609434,57167.51948600001
2021-06-01,68.253749625,6175.139862,58190.56765199999
2021-06-02,65.51166658333334,26823.035308000002,60169.741466
2021-06-03,55.49666616666667,55313.389007,61456.65711700001
2021-06-04,70.53291620833333,15189.186519,56029.296726000015
2021-06-05,62.557500166666664,11801.78461,47121.26731199999
2021-06-06,59.43749995833333,4849.131197,47212.186860999995
2021-06-07,77.33791691666667,7632.454258000001,58140.84879
2021-06-08,76.92041641666667,14172.442546,58756.54488300001
2021-06-09,76.7358335,9540.386323000002,58892.080971
2021-06-10,78.83333295833333,7744.230627000001,59545.80343800001
2021-06-11,78.095417,25739.393646,59486.54214700001
2021-06-12,37.550833499999996,56865.93335199999,51641.00889899999
2021-06-13,19.401250041666668,48215.076732,50084.537094
2021-06-14,74.12125020833334,48693.290785,61010.49478300001
2021-06-15,82.6062495,26059.887033000006,59966.182007999996
2021-06-16,85.00374958333333,8124.920574000001,60373.81998799999
2021-06-17,77.408749875,35154.203495,63679.520251999995
2021-06-18,80.119583125,15102.760891,59848.134514
2021-06-19,70.037917375,21349.819133999998,51596.526609
2021-06-20,58.43249983333333,35303.047695,50984.045758
2021-06-21,77.63249979166667,24048.124474999997,59695.99503200001
2021-06-22,84.589166875,28411.710793000002,60672.144007
2021-06-23,92.84458304166667,8975.677471,59732.288
2021-06-24,94.827083875,8218.959241,60074.109486
2021-06-25,89.72624975,6743.955546,58319.86860899999
2021-06-26,79.875,7614.837972,50567.321614
2021-06-27,64.95125029166667,16055.119654000002,49877.13110399999
2021-06-28,88.72999891666666,10105.457693,60317.789046
2021-06-29,91.64750004166666,11803.585027,61347.490182
2021-06-30,92.37625004166667,10456.478679999998,61299.654966999995
2021-07-01,88.9279165,35418.34164499999,62016.23856299999
2021-07-02,96.58375008333333,7146.619009999999,59471.24317200001
2021-07-03,83.60416599999999,4385.987003,50661.32089300001
2021-07-04,82.96374958333334,1697.2431969999998,49752.106369999994
2021-07-05,93.8450005,13751.316755,59734.912367
2021-07-06,79.52916691666667,33018.13811099999,62409.172627
2021-07-07,95.852083625,36485.276141999995,61203.71979600001
2021-07-08,109.04208333333334,9740.858822,59394.954042
2021-07-09,91.423333125,7252.4694709999985,56960.825989
2021-07-10,80.449584125,26871.047578000005,49107.04779499999
2021-07-11,77.73999904166666,7302.568073,47130.02682300001
2021-07-12,93.45125075,26587.552649999998,58138.581229999996
2021-07-13,95.01499941666667,13566.290393000001,59947.33380900001
2021-07-14,87.38916716666667,6698.946005999997,61438.080343
2021-07-15,89.73583383333333,18829.599865000004,63513.29824900002
2021-07-16,84.96458375,16642.162635,59390.84643799999
2021-07-17,54.986249875,44727.64529200001,50497.904364
2021-07-18,38.76541666666667,61562.52724000001,49508.364193
2021-07-19,88.27041641666666,29846.92398200001,54120.78284999999
2021-07-20,73.663332875,47926.50952400001,54515.682069
2021-07-21,89.10750020833333,17350.693377,53158.444153000004
2021-07-22,87.393333125,13388.712476999997,53354.89232500001
2021-07-23,88.800833,4513.171531,52204.249882000004
2021-07-24,75.290834,10553.926205000005,47963.17624400002
2021-07-25,60.70625020833333,46970.13298599999,48470.829108000005
2021-07-26,88.50291758333333,14620.718072999998,52520.634458000015
2021-07-27,87.22375012500001,8156.124821,52730.952528
2021-07-28,79.42208308333333,24531.130692999996,52413.650186000006
2021-07-29,39.01875029166666,47690.647059999996,54555.287297
2021-07-30,58.33541695833333,48893.20333900001,53429.749992
2021-07-31,39.97291675,30881.346300999998,46530.834902
2021-08-01,56.43583325,55345.16122899999,46171.382882
2021-08-02,80.08708316666667,35278.472088,54234.50064999999
2021-08-03,96.510416375,22121.294294999996,53837.082289
2021-08-04,98.16916745833333,3066.92542,53972.832918
2021-08-05,94.50958316666667,9823.661804999998,54842.93686899999
2021-08-06,69.90791620833333,47025.355161,56750.725203999995
2021-08-07,61.50458329166667,23176.778497000007,48319.390648
2021-08-08,15.416667,19528.075778000002,48997.85799
2021-08-09,68.70416679166667,33833.810867,58214.812723999996
2021-08-10,90.76791666666666,7929.437302,58828.519602
2021-08-11,100.76208358333334,12643.501371000002,58781.715306
2021-08-12,106.54249958333334,14870.306900999996,59452.517986000006
2021-08-13,94.90458458333333,33861.09985400001,59162.71347
2021-08-14,61.85708291666667,62617.90496499998,51109.20257
2021-08-15,61.944582375,32057.529453000003,49764.42506199999
2021-08-16,72.94416745833334,17790.581249000003,59713.877013
2021-08-17,65.265833,56038.123,63690.38949999999
2021-08-18,73.37500083333333,65019.355709,63799.094185999995
